icd_code;diagnose_name;description
D70.18;Sonstige Verlaufsformen der arzneimittelinduzierten Agranulozytose und Neutropenie;Agranulozytose und Neutropenie
D70.19;Arzneimittelinduzierte Agranulozytose und Neutropenie, nicht näher bezeichnet;Agranulozytose und Neutropenie
D70.3;Sonstige Agranulozytose;Agranulozytose und Neutropenie
D70.5;Zyklische Neutropenie;Agranulozytose und Neutropenie
D70.6;Sonstige Neutropenie;Agranulozytose und Neutropenie
D70.7;Neutropenie, nicht näher bezeichnet;Agranulozytose und Neutropenie
D71;Funktionelle Störungen der neutrophilen Granulozyten;Funktionelle Störungen der neutrophilen Granulozyten
D72.-;Sonstige Krankheiten der Leukozyten;Sonstige Krankheiten der Leukozyten
D72.0;Genetisch bedingte Leukozytenanomalien;Sonstige Krankheiten der Leukozyten
D72.1;Eosinophilie;Sonstige Krankheiten der Leukozyten
D72.8;Sonstige näher bezeichnete Krankheiten der Leukozyten;Sonstige Krankheiten der Leukozyten
D72.9;Krankheit der Leukozyten, nicht näher bezeichnet;Sonstige Krankheiten der Leukozyten
D73.-;Krankheiten der Milz;Krankheiten der Milz
D73.0;Hyposplenismus;Krankheiten der Milz
D73.1;Hypersplenismus;Krankheiten der Milz
D73.2;Chronisch-kongestive Splenomegalie;Krankheiten der Milz
D73.3;Abszess der Milz;Krankheiten der Milz
D73.4;Zyste der Milz;Krankheiten der Milz
D73.5;Infarzierung der Milz;Krankheiten der Milz
D73.8;Sonstige Krankheiten der Milz;Krankheiten der Milz
D73.9;Krankheit der Milz, nicht näher bezeichnet;Krankheiten der Milz
D74.-;Methämoglobinämie;Methämoglobinämie
D74.0;Angeborene Methämoglobinämie;Methämoglobinämie
D74.8;Sonstige Methämoglobinämien;Methämoglobinämie
D74.9;Methämoglobinämie, nicht näher bezeichnet;Methämoglobinämie
D75.-;Sonstige Krankheiten des Blutes und der blutbildenden Organe;Sonstige Krankheiten des Blutes und der blutbildenden Organe
D75.0;Familiäre Erythrozytose;Sonstige Krankheiten des Blutes und der blutbildenden Organe
D75.1;Sekundäre Polyglobulie [Polyzythämie];Sonstige Krankheiten des Blutes und der blutbildenden Organe
D75.8;Sonstige näher bezeichnete Krankheiten des Blutes und der blutbildenden Organe;Sonstige Krankheiten des Blutes und der blutbildenden Organe
D75.9;Krankheit des Blutes und der blutbildenden Organe, nicht näher bezeichnet;Sonstige Krankheiten des Blutes und der blutbildenden Organe
D76.-;Sonstige näher bezeichnete Krankheiten mit Beteiligung des lymphoretikulären Gewebes und des retikulohistiozytären Systems;Sonstige näher bezeichnete Krankheiten mit Beteiligung des lymphoretikulären Gewebes und des retikulohistiozytären Systems
D76.1;Hämophagozytäre Lymphohistiozytose;Sonstige näher bezeichnete Krankheiten mit Beteiligung des lymphoretikulären Gewebes und des retikulohistiozytären Systems
D76.2;Hämophagozytäres Syndrom bei Infektionen;Sonstige näher bezeichnete Krankheiten mit Beteiligung des lymphoretikulären Gewebes und des retikulohistiozytären Systems
D76.3;Sonstige Histiozytose-Syndrome;Sonstige näher bezeichnete Krankheiten mit Beteiligung des lymphoretikulären Gewebes und des retikulohistiozytären Systems
D76.4;Zytokinfreisetzungs-Syndrom [cytokine release syndrome];Sonstige näher bezeichnete Krankheiten mit Beteiligung des lymphoretikulären Gewebes und des retikulohistiozytären Systems
D77*;Sonstige Krankheiten des Blutes und der blutbildenden Organe bei anderenorts klassifizierten Krankheiten;Sonstige Krankheiten des Blutes und der blutbildenden Organe bei anderenorts klassifizierten Krankheiten
D80.-;Immundefekt mit vorherrschendem Antikörpermangel;Immundefekt mit vorherrschendem Antikörpermangel
D80.0;Hereditäre Hypogammaglobulinämie;Immundefekt mit vorherrschendem Antikörpermangel
D80.1;Nichtfamiliäre Hypogammaglobulinämie;Immundefekt mit vorherrschendem Antikörpermangel
D80.2;Selektiver Immunglobulin-A-Mangel [IgA-Mangel];Immundefekt mit vorherrschendem Antikörpermangel
D80.3;Selektiver Mangel an Immunglobulin-G-Subklassen [IgG-Subklassen];Immundefekt mit vorherrschendem Antikörpermangel
D80.4;Selektiver Immunglobulin-M-Mangel [IgM-Mangel];Immundefekt mit vorherrschendem Antikörpermangel
D80.5;Immundefekt bei erhöhtem Immunglobulin M [IgM];Immundefekt mit vorherrschendem Antikörpermangel
D80.6;Antikörpermangel bei Normo- oder Hypergammaglobulinämie;Immundefekt mit vorherrschendem Antikörpermangel
D80.7;Transitorische Hypogammaglobulinämie im Kindesalter;Immundefekt mit vorherrschendem Antikörpermangel
D80.8;Sonstige Immundefekte mit vorherrschendem Antikörpermangel;Immundefekt mit vorherrschendem Antikörpermangel
D80.9;Immundefekt mit vorherrschendem Antikörpermangel, nicht näher bezeichnet;Immundefekt mit vorherrschendem Antikörpermangel
D81.-;Kombinierte Immundefekte;Kombinierte Immundefekte
D81.0;Schwerer kombinierter Immundefekt [SCID] mit retikulärer Dysgenesie;Kombinierte Immundefekte
D81.1;Schwerer kombinierter Immundefekt [SCID] mit niedriger T- und B-Zellen-Zahl;Kombinierte Immundefekte
D81.2;Schwerer kombinierter Immundefekt [SCID] mit niedriger oder normaler B-Zellen-Zahl;Kombinierte Immundefekte
D81.3;Adenosindesaminase[ADA]-Mangel;Kombinierte Immundefekte
D81.4;Nezelof-Syndrom;Kombinierte Immundefekte
D81.5;Purinnukleosid-Phosphorylase[PNP]-Mangel;Kombinierte Immundefekte
D81.6;Haupthistokompatibilitäts-Komplex-Klasse-I-Defekt [MHC-Klasse-I-Defekt];Kombinierte Immundefekte
D81.7;Haupthistokompatibilitäts-Komplex-Klasse-II-Defekt [MHC-Klasse-II-Defekt];Kombinierte Immundefekte
D81.8;Sonstige kombinierte Immundefekte;Kombinierte Immundefekte
D81.9;Kombinierter Immundefekt, nicht näher bezeichnet;Kombinierte Immundefekte
D82.-;Immundefekt in Verbindung mit anderen schweren Defekten;Immundefekt in Verbindung mit anderen schweren Defekten
D82.0;Wiskott-Aldrich-Syndrom;Immundefekt in Verbindung mit anderen schweren Defekten
D82.1;Di-George-Syndrom;Immundefekt in Verbindung mit anderen schweren Defekten
D82.2;Immundefekt mit disproportioniertem Kleinwuchs;Immundefekt in Verbindung mit anderen schweren Defekten
D82.3;Immundefekt mit hereditär defekter Reaktion auf Epstein-Barr-Virus;Immundefekt in Verbindung mit anderen schweren Defekten
D82.4;Hyperimmunglobulin-E[IgE]-Syndrom;Immundefekt in Verbindung mit anderen schweren Defekten
D82.8;Immundefekte in Verbindung mit anderen näher bezeichneten schweren Defekten;Immundefekt in Verbindung mit anderen schweren Defekten
D82.9;Immundefekt in Verbindung mit schwerem Defekt, nicht näher bezeichnet;Immundefekt in Verbindung mit anderen schweren Defekten
D83.-;Variabler Immundefekt [common variable immunodeficiency];Variabler Immundefekt [common variable immunodeficiency]
D83.0;Variabler Immundefekt mit überwiegenden Abweichungen der B-Zellen-Zahl und -Funktion;Variabler Immundefekt [common variable immunodeficiency]
D83.1;Variabler Immundefekt mit überwiegenden immunregulatorischen T-Zell-Störungen;Variabler Immundefekt [common variable immunodeficiency]
D83.2;Variabler Immundefekt mit Autoantikörpern gegen B- oder T-Zellen;Variabler Immundefekt [common variable immunodeficiency]
D83.8;Sonstige variable Immundefekte;Variabler Immundefekt [common variable immunodeficiency]
D83.9;Variabler Immundefekt, nicht näher bezeichnet;Variabler Immundefekt [common variable immunodeficiency]
D84.-;Sonstige Immundefekte;Sonstige Immundefekte
D84.0;Lymphozytenfunktion-Antigen-1[LFA-1]-Defekt;Sonstige Immundefekte
D84.1;Defekte im Komplementsystem;Sonstige Immundefekte
D84.8;Sonstige näher bezeichnete Immundefekte;Sonstige Immundefekte
D84.9;Immundefekt, nicht näher bezeichnet;Sonstige Immundefekte
D86.-;Sarkoidose;Sarkoidose
D86.0;Sarkoidose der Lunge;Sarkoidose
D86.1;Sarkoidose der Lymphknoten;Sarkoidose
D86.2;Sarkoidose der Lunge mit Sarkoidose der Lymphknoten;Sarkoidose
D86.3;Sarkoidose der Haut;Sarkoidose
D86.8;Sarkoidose an sonstigen und kombinierten Lokalisationen;Sarkoidose
D86.9;Sarkoidose, nicht näher bezeichnet;Sarkoidose
D89.-;Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert;Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert
D89.0;Polyklonale Hypergammaglobulinämie;Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert
D89.1;Kryoglobulinämie;Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert
D89.2;Hypergammaglobulinämie, nicht näher bezeichnet;Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert
D89.3;Immunrekonstitutionssyndrom;Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert
D89.8;Sonstige näher bezeichnete Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert;Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert
D89.9;Störung mit Beteiligung des Immunsystems, nicht näher bezeichnet;Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert
D90;Immunkompromittierung nach Bestrahlung, Chemotherapie und sonstigen immunsuppressiven Maßnahmen;Immunkompromittierung nach Bestrahlung, Chemotherapie und sonstigen immunsuppressiven Maßnahmen
E00.-;Angeborenes Jodmangelsyndrom;Angeborenes Jodmangelsyndrom
E00.0;Angeborenes Jodmangelsyndrom, neurologischer Typ;Angeborenes Jodmangelsyndrom
E00.1;Angeborenes Jodmangelsyndrom, myxödematöser Typ;Angeborenes Jodmangelsyndrom
E00.2;Angeborenes Jodmangelsyndrom, gemischter Typ;Angeborenes Jodmangelsyndrom
E00.9;Angeborenes Jodmangelsyndrom, nicht näher bezeichnet;Angeborenes Jodmangelsyndrom
E01.-;Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände;Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände
E01.0;Jodmangelbedingte diffuse Struma (endemisch);Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände
E01.1;Jodmangelbedingte mehrknotige Struma (endemisch);Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände
E01.2;Jodmangelbedingte Struma (endemisch), nicht näher bezeichnet;Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände
E01.8;Sonstige jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände;Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände
E02;Subklinische Jodmangel-Hypothyreose;Subklinische Jodmangel-Hypothyreose
E03.-;Sonstige Hypothyreose;Sonstige Hypothyreose
E03.0;Angeborene Hypothyreose mit diffuser Struma;Sonstige Hypothyreose
E03.1;Angeborene Hypothyreose ohne Struma;Sonstige Hypothyreose
E03.2;Hypothyreose durch Arzneimittel oder andere exogene Substanzen;Sonstige Hypothyreose
E03.3;Postinfektiöse Hypothyreose;Sonstige Hypothyreose
E03.4;Atrophie der Schilddrüse (erworben);Sonstige Hypothyreose
E03.5;Myxödemkoma;Sonstige Hypothyreose
E03.8;Sonstige näher bezeichnete Hypothyreose;Sonstige Hypothyreose
E03.9;Hypothyreose, nicht näher bezeichnet;Sonstige Hypothyreose
E04.-;Sonstige nichttoxische Struma;Sonstige nichttoxische Struma
E04.0;Nichttoxische diffuse Struma;Sonstige nichttoxische Struma
E04.1;Nichttoxischer solitärer Schilddrüsenknoten;Sonstige nichttoxische Struma
E04.2;Nichttoxische mehrknotige Struma;Sonstige nichttoxische Struma
E04.8;Sonstige näher bezeichnete nichttoxische Struma;Sonstige nichttoxische Struma
E04.9;Nichttoxische Struma, nicht näher bezeichnet;Sonstige nichttoxische Struma
E05.-;Hyperthyreose [Thyreotoxikose];Hyperthyreose [Thyreotoxikose]
E05.0;Hyperthyreose mit diffuser Struma;Hyperthyreose [Thyreotoxikose]
E05.1;Hyperthyreose mit toxischem solitärem Schilddrüsenknoten;Hyperthyreose [Thyreotoxikose]
E05.2;Hyperthyreose mit toxischer mehrknotiger Struma;Hyperthyreose [Thyreotoxikose]
E05.3;Hyperthyreose durch ektopisches Schilddrüsengewebe;Hyperthyreose [Thyreotoxikose]
E05.4;Hyperthyreosis factitia;Hyperthyreose [Thyreotoxikose]
E05.5;Thyreotoxische Krise;Hyperthyreose [Thyreotoxikose]
E05.8;Sonstige Hyperthyreose;Hyperthyreose [Thyreotoxikose]
E05.9;Hyperthyreose, nicht näher bezeichnet;Hyperthyreose [Thyreotoxikose]
E06.-;Thyreoiditis;Thyreoiditis
E06.0;Akute Thyreoiditis;Thyreoiditis
E06.1;Subakute Thyreoiditis;Thyreoiditis
E06.2;Chronische Thyreoiditis mit transitorischer Hyperthyreose;Thyreoiditis
E06.3;Autoimmunthyreoiditis;Thyreoiditis
E06.4;Arzneimittelinduzierte Thyreoiditis;Thyreoiditis
E06.5;Sonstige chronische Thyreoiditis;Thyreoiditis
E06.9;Thyreoiditis, nicht näher bezeichnet;Thyreoiditis
E07.-;Sonstige Krankheiten der Schilddrüse;Sonstige Krankheiten der Schilddrüse
E07.0;Hypersekretion von Kalzitonin;Sonstige Krankheiten der Schilddrüse
E07.1;Dyshormogene Struma;Sonstige Krankheiten der Schilddrüse
E07.8;Sonstige näher bezeichnete Krankheiten der Schilddrüse;Sonstige Krankheiten der Schilddrüse
E07.9;Krankheit der Schilddrüse, nicht näher bezeichnet;Sonstige Krankheiten der Schilddrüse
E10.-;Diabetes mellitus, Typ 1;Diabetes mellitus, Typ 1
E10.0-;Diabetes mellitus, Typ 1: Mit Koma;Diabetes mellitus, Typ 1
E10.01;Diabetes mellitus, Typ 1: Mit Koma: Als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.1-;Diabetes mellitus, Typ 1: Mit Ketoazidose;Diabetes mellitus, Typ 1
E10.11;Diabetes mellitus, Typ 1: Mit Ketoazidose: Als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.2-;Diabetes mellitus, Typ 1: Mit Nierenkomplikationen;Diabetes mellitus, Typ 1
E10.20;Diabetes mellitus, Typ 1: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.21;Diabetes mellitus, Typ 1: Mit Nierenkomplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.3-;Diabetes mellitus, Typ 1: Mit Augenkomplikationen;Diabetes mellitus, Typ 1
E10.30;Diabetes mellitus, Typ 1: Mit Augenkomplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.31;Diabetes mellitus, Typ 1: Mit Augenkomplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.4-;Diabetes mellitus, Typ 1: Mit neurologischen Komplikationen;Diabetes mellitus, Typ 1
E10.40;Diabetes mellitus, Typ 1: Mit neurologischen Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.41;Diabetes mellitus, Typ 1: Mit neurologischen Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.5-;Diabetes mellitus, Typ 1: Mit peripheren vaskulären Komplikationen;Diabetes mellitus, Typ 1
E10.50;Diabetes mellitus, Typ 1: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.51;Diabetes mellitus, Typ 1: Mit peripheren vaskulären Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.6-;Diabetes mellitus, Typ 1: Mit sonstigen näher bezeichneten Komplikationen;Diabetes mellitus, Typ 1
E10.60;Diabetes mellitus, Typ 1: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.61;Diabetes mellitus, Typ 1: Mit sonstigen näher bezeichneten Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.7-;Diabetes mellitus, Typ 1: Mit multiplen Komplikationen;Diabetes mellitus, Typ 1
E10.72;Diabetes mellitus, Typ 1: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.73;Diabetes mellitus, Typ 1: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.74;Diabetes mellitus, Typ 1: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.75;Diabetes mellitus, Typ 1: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.8-;Diabetes mellitus, Typ 1: Mit nicht näher bezeichneten Komplikationen;Diabetes mellitus, Typ 1
E10.80;Diabetes mellitus, Typ 1: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.81;Diabetes mellitus, Typ 1: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.9-;Diabetes mellitus, Typ 1: Ohne Komplikationen;Diabetes mellitus, Typ 1
E10.90;Diabetes mellitus, Typ 1: Ohne Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 1
E10.91;Diabetes mellitus, Typ 1: Ohne Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 1
E11.-;Diabetes mellitus, Typ 2;Diabetes mellitus, Typ 2
E11.0-;Diabetes mellitus, Typ 2: Mit Koma;Diabetes mellitus, Typ 2
E11.01;Diabetes mellitus, Typ 2: Mit Koma: Als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.1-;Diabetes mellitus, Typ 2: Mit Ketoazidose;Diabetes mellitus, Typ 2
E11.11;Diabetes mellitus, Typ 2: Mit Ketoazidose: Als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.2-;Diabetes mellitus, Typ 2: Mit Nierenkomplikationen;Diabetes mellitus, Typ 2
E11.20;Diabetes mellitus, Typ 2: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.21;Diabetes mellitus, Typ 2: Mit Nierenkomplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.3-;Diabetes mellitus, Typ 2: Mit Augenkomplikationen;Diabetes mellitus, Typ 2
E11.30;Diabetes mellitus, Typ 2: Mit Augenkomplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.31;Diabetes mellitus, Typ 2: Mit Augenkomplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.4-;Diabetes mellitus, Typ 2: Mit neurologischen Komplikationen;Diabetes mellitus, Typ 2
E11.40;Diabetes mellitus, Typ 2: Mit neurologischen Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.41;Diabetes mellitus, Typ 2: Mit neurologischen Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.5-;Diabetes mellitus, Typ 2: Mit peripheren vaskulären Komplikationen;Diabetes mellitus, Typ 2
E11.50;Diabetes mellitus, Typ 2: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.51;Diabetes mellitus, Typ 2: Mit peripheren vaskulären Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.6-;Diabetes mellitus, Typ 2: Mit sonstigen näher bezeichneten Komplikationen;Diabetes mellitus, Typ 2
E11.60;Diabetes mellitus, Typ 2: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.61;Diabetes mellitus, Typ 2: Mit sonstigen näher bezeichneten Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.7-;Diabetes mellitus, Typ 2: Mit multiplen Komplikationen;Diabetes mellitus, Typ 2
E11.72;Diabetes mellitus, Typ 2: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.73;Diabetes mellitus, Typ 2: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.74;Diabetes mellitus, Typ 2: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.75;Diabetes mellitus, Typ 2: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.8-;Diabetes mellitus, Typ 2: Mit nicht näher bezeichneten Komplikationen;Diabetes mellitus, Typ 2
E11.80;Diabetes mellitus, Typ 2: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.81;Diabetes mellitus, Typ 2: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.9-;Diabetes mellitus, Typ 2: Ohne Komplikationen;Diabetes mellitus, Typ 2
E11.90;Diabetes mellitus, Typ 2: Ohne Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus, Typ 2
E11.91;Diabetes mellitus, Typ 2: Ohne Komplikationen: Als entgleist bezeichnet;Diabetes mellitus, Typ 2
E12.-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition];Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.0-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Koma;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.01;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Koma: Als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.1-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Ketoazidose;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.11;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Ketoazidose: Als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.2-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Nierenkomplikationen;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.20;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.21;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Nierenkomplikationen: Als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.3-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Augenkomplikationen;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.30;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Augenkomplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.31;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Augenkomplikationen: Als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.4-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit neurologischen Komplikationen;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.40;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit neurologischen Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.41;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit neurologischen Komplikationen: Als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.5-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit peripheren vaskulären Komplikationen;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.50;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.51;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit peripheren vaskulären Komplikationen: Als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.6-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit sonstigen näher bezeichneten Komplikationen;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.60;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.61;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit sonstigen näher bezeichneten Komplikationen: Als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.7-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.72;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.73;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.74;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.75;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.8-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit nicht näher bezeichneten Komplikationen;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.80;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.81;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E12.9-;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Ohne Komplikationen;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
